id;name;account_status;email;tel_main;description
1;Assistant;EXPIRED;"n7f@2s.rLY.g.lG9VGH-MbXJY";Chile dedicated;users
2;mobile azure Soft;DEACTIVE;"Q-J-BWO8-tosYI+eUXm@neW.K-mL5VR-VLzjb-kWxMZN.j";RSS Personal Loan Account;Rhode Island Court
3;Auto Loan Account revolutionary Concrete;ACTIVE;"GjI+Vl@COb3n.LGBdP.Cix8hK.ndhAz-m-PbB5CY.8G-qO.M";connecting;Fall
4;transitional Forint Steel;ACTIVE;"b0k8+2YaM4-oZ7J@PPD.POfYWF-OCD45d-hU3Gky.bYJw.w.5-WZAT.ZWkI7.q-c2XZa-rU";Oregon Mississippi systems;Bike connecting Fantastic
5;transmit Investment Account;ACTIVE;"g-BCjd0-7WDV.B8@zI-rH2.7MK-SwfJ.ye.mxuY9Q.p4EUJL-p.414Z7";Fantastic Lithuania radical;Frozen leading edge
6;Springs Solutions;ACTIVE;"Yz0aAs@HGq9-aA.p.EnM3Pz-IFRJU.JlPV";Assistant Somalia Frozen;Plastic French Guiana
7;Agent;DEACTIVE;"T_Zz@gS2QBx.uONyF0-yptt2f-sGQOK.4aV-lMHn6.H4awd";Supervisor implementation Generic;Kiribati
8;HDD Multi-channelled;SUSPENDED;"55z9r@f-cVy-qc.waQ3.pODb.Obcgm1.s-2-dkD-1vlQ.t7_w";Buckinghamshire grow;Program
9;Tugrik integrated Analyst;DEACTIVE;"Gj.em+2C_+WHlKLP+EuPfdQ-bE2HK2@2.Y5-d.i.TRl86d-SXr2d_-j-ve-l6.dB";monetize Credit Card Account;Indiana
10;Regional;EXPIRED;"jDX_PH@QWx.TgoZfg.u.qga";Books transmitter;hierarchy orchid Ball
